MDRC,Allemagne2000,Allemagne2005,Allemagne2010,Allemagne2015,Autriche2000,Autriche2005,Autriche2010,Autriche2015,Belgique2000,Belgique2005,Belgique2010,Belgique2015,Bulgarie2000,Bulgarie2005,Bulgarie2010,Bulgarie2015,Chypre2000,Chypre2005,Chypre2010,Chypre2015,Croatie2000,Croatie2005,Croatie2010,Croatie2015,Danemark2000,Danemark2005,Danemark2010,Danemark2015,Espagne2000,Espagne2005,Espagne2010,Espagne2015,Estonie2000,Estonie2005,Estonie2010,Estonie2015,Finlande2000,Finlande2005,Finlande2010,Finlande2015,France2000,France2005,France2010,France2015,Gr_ce2000,Gr_ce2005,Gr_ce2010,Gr_ce2015,Hongrie2000,Hongrie2005,Hongrie2010,Hongrie2015,Irlande2000,Irlande2005,Irlande2010,Irlande2015,Italie2000,Italie2005,Italie2010,Italie2015,Lettonie2000,Lettonie2005,Lettonie2010,Lettonie2015,Lituanie2000,Lituanie2005,Lituanie2010,Lituanie2015,Luxembourg2000,Luxembourg2005,Luxembourg2010,Luxembourg2015,Malte2000,Malte2005,Malte2010,Malte2015,Pays_Bas2000,Pays_Bas2005,Pays_Bas2010,Pays_Bas2015,Pologne2000,Pologne2005,Pologne2010,Pologne2015,Portugal2000,Portugal2005,Portugal2010,Portugal2015,R_publique_Tch_que2000,R_publique_Tch_que2005,R_publique_Tch_que2010,R_publique_Tch_que2015,Roumanie2000,Roumanie2005,Roumanie2010,Roumanie2015,Royaume_Uni2000,Royaume_Uni2005,Royaume_Uni2010,Royaume_Uni2015,Slov_nie2000,Slov_nie2005,Slov_nie2010,Slov_nie2015,Slovaquie2000,Slovaquie2005,Slovaquie2010,Slovaquie2015,Su_de2000,Su_de2005,Su_de2010,Su_de2015,Z_Pop_EU28notBEL2000,Z_Pop_EU28notBEL2005,Z_Pop_EU28notBEL2010,Z_Pop_EU28notBEL2015,Z_Pop_EU28tot2000,Z_Pop_EU28tot2005,Z_Pop_EU28tot2010,Z_Pop_EU28tot2015,Z_Pop_etranger2000,Z_Pop_etranger2005,Z_Pop_etranger2010,Z_Pop_etranger2015,Z_Pop_total2000,Z_Pop_total2005,Z_Pop_total2010,Z_Pop_total2015
47,61,146,203,217,12,16,20,36,8481,8742,8562,8171,4,15,10,35,0,0,0,2,1,0,1,5,11,22,25,21,641,541,463,602,0,0,2,3,8,19,17,24,644,790,1227,1780,113,117,90,91,12,11,18,21,14,23,39,38,637,604,594,624,0,1,4,5,0,0,3,9,21,25,29,19,0,2,8,5,72,76,114,131,55,221,561,594,800,803,868,830,0,10,12,8,6,26,151,309,113,131,186,179,1,1,2,11,0,3,7,10,28,54,70,57,3254,3657,4724,5666,11735,12399,13286,13837,4389,4809,6074,7354,12870,13551,14636,15525
48,23,36,43,66,3,3,5,5,5778,7114,7462,7779,3,2,18,30,0,1,0,2,5,3,0,2,6,6,7,2,985,738,613,630,0,0,2,3,4,5,9,7,294,415,649,769,536,376,258,230,7,6,12,5,3,0,7,8,504,395,353,387,0,1,0,3,0,0,1,1,7,5,8,8,0,0,0,0,30,46,66,65,35,125,384,456,1055,889,819,967,0,3,3,1,6,39,212,357,58,49,48,60,0,1,2,1,0,2,1,2,5,7,8,10,3569,3153,3528,4077,9347,10267,10990,11856,6431,5273,5693,6392,12209,12387,13155,14171
49,8,12,17,27,3,6,2,3,3304,4182,4347,4257,0,0,5,14,0,0,0,0,1,1,1,1,0,1,0,0,492,397,312,351,0,0,0,0,0,1,8,6,124,158,239,314,172,136,98,82,4,1,1,0,2,0,1,3,372,331,258,222,0,0,0,0,0,2,2,0,2,4,4,2,0,0,0,0,13,20,40,36,5,56,178,200,715,656,589,584,0,0,0,0,5,31,87,169,16,6,6,15,0,0,0,0,0,0,3,3,0,2,1,3,1934,1821,1852,2035,5238,6003,6199,6292,3659,3024,3150,3349,6963,7206,7497,7606
50,6,13,25,46,1,1,2,5,5633,7557,8146,8343,0,8,11,27,0,0,1,0,1,1,1,2,0,3,4,3,622,441,437,561,0,0,1,3,0,3,1,1,235,262,316,496,292,198,148,98,0,3,3,3,4,3,6,9,905,740,610,627,0,2,2,6,0,0,0,6,4,5,4,5,0,0,0,0,19,21,66,55,40,105,247,355,361,391,416,478,2,1,0,1,1,37,173,345,30,29,38,46,0,0,2,0,0,1,2,4,3,5,9,9,2526,2273,2525,3191,8159,9830,10671,11534,5809,4559,4870,5608,11442,12116,13016,13951
51,37,36,47,54,1,9,13,12,7657,8015,8059,8150,3,6,21,33,0,1,0,0,0,0,0,0,2,4,3,6,388,344,324,402,0,0,1,0,4,1,3,1,341,357,393,578,128,111,76,86,2,5,5,4,4,1,4,2,599,557,465,486,0,0,1,7,1,0,0,3,11,5,6,5,0,0,1,0,34,35,44,66,17,82,287,379,244,372,355,471,2,1,0,3,9,33,136,371,23,30,31,30,0,0,3,4,1,3,4,5,1,8,10,6,1852,2001,2233,3014,9509,10016,10292,11164,2847,2859,3321,4345,10504,10874,11380,12495
52,10,9,15,22,1,0,3,3,9791,10399,10529,10448,3,9,31,90,1,0,0,1,1,0,0,0,1,2,0,2,398,334,337,349,0,0,0,0,1,0,3,0,333,313,352,418,148,111,90,72,4,1,2,11,1,1,1,2,605,557,530,492,0,0,2,2,0,0,0,3,13,16,12,7,0,0,0,0,31,32,55,55,22,115,411,602,209,245,285,395,1,2,0,0,2,38,396,1054,17,16,16,14,0,0,0,0,0,2,3,4,1,2,0,4,1803,1805,2544,3602,11594,12204,13073,14050,2742,2818,3913,5291,12533,13217,14442,15739
53,6,7,16,15,1,1,1,3,8250,8579,9729,10762,1,8,11,35,0,0,0,0,2,0,0,0,0,0,0,0,310,290,309,268,0,1,0,1,0,0,0,2,176,149,231,308,79,73,68,63,2,0,0,3,3,3,2,3,280,311,363,384,0,0,0,0,0,0,1,1,4,7,5,6,0,0,0,0,18,9,25,19,16,104,362,572,137,206,309,422,0,0,0,0,7,16,199,584,18,17,14,12,0,0,0,0,1,3,1,0,0,0,6,1,1061,1205,1923,2702,9311,9784,11652,13464,1463,1866,2922,3972,9713,10445,12651,14734
54,4,4,1,4,0,0,0,0,1466,1478,1499,1507,0,0,1,1,0,0,0,0,2,0,0,0,0,1,0,0,28,27,28,22,0,1,0,0,0,0,0,0,70,87,103,100,11,5,5,6,0,1,0,0,1,0,0,0,21,25,25,27,0,0,0,0,0,0,0,0,5,4,4,2,0,0,0,0,0,0,0,1,2,11,4,10,8,16,10,9,0,0,0,0,1,4,11,11,1,2,2,1,0,0,0,0,0,0,1,1,1,0,0,0,155,188,195,195,1621,1666,1694,1702,225,292,322,325,1691,1770,1821,1832
55,2,2,0,1,0,0,0,0,981,1020,995,988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,12,9,9,0,0,0,0,0,0,0,0,11,10,20,29,1,5,4,2,0,0,0,0,0,0,0,0,20,30,26,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,1,0,1,4,8,4,7,14,17,0,0,0,0,0,0,3,15,3,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,57,75,82,115,1038,1095,1077,1103,62,86,103,144,1043,1106,1098,1132
56,1,1,1,1,0,0,0,0,1484,1479,1412,1454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,14,19,22,0,0,0,0,0,0,0,0,42,46,35,27,6,6,5,7,1,1,1,1,0,0,0,0,14,18,27,29,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,2,1,1,2,25,35,13,16,15,12,0,0,0,0,1,0,6,13,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,99,106,138,149,1583,1585,1550,1603,126,162,204,279,1610,1641,1616,1733
57,14,10,13,10,0,1,0,0,8504,8551,8516,8524,0,2,19,22,0,0,0,0,0,0,0,2,0,1,0,1,137,160,149,208,0,0,0,0,0,0,0,0,144,158,212,254,77,88,88,75,1,2,4,2,3,1,1,1,133,168,187,215,0,0,0,0,0,0,0,0,6,10,10,5,0,0,0,0,29,24,28,36,6,39,104,213,29,35,55,108,0,0,2,2,9,8,76,256,15,12,13,12,0,0,3,0,0,0,0,0,0,0,1,0,603,719,965,1422,9107,9270,9481,9946,768,946,1329,1932,9272,9497,9845,10456
58,38,9,17,19,0,0,0,0,7195,8387,8527,9007,2,16,57,112,0,0,0,0,2,2,3,3,0,0,2,4,376,331,306,404,0,0,0,0,2,0,2,0,237,213,266,312,134,115,96,82,1,1,7,11,0,1,2,2,521,475,400,373,0,0,4,0,0,0,1,2,6,7,8,6,0,0,0,0,35,39,54,90,23,101,473,541,104,150,165,245,2,2,1,2,8,25,327,897,14,13,15,17,0,0,0,0,0,0,0,0,2,1,0,0,1507,1501,2206,3122,8702,9888,10733,12129,2962,2853,3926,5177,10157,11240,12453,14184
59,6,5,13,16,0,0,0,0,7831,8443,8941,9249,0,6,23,52,0,0,0,0,0,1,0,1,0,0,0,0,376,326,304,333,0,0,1,1,0,2,1,1,158,197,239,259,132,138,113,113,3,2,0,4,0,1,1,3,485,475,446,354,0,0,0,3,0,0,4,0,7,2,3,4,0,0,0,0,18,22,42,56,28,74,182,311,112,140,218,266,0,2,2,2,5,19,220,590,11,9,6,7,0,0,0,1,3,1,1,1,5,6,0,0,1349,1428,1819,2378,9180,9871,10760,11627,2184,2250,2978,3672,10015,10693,11919,12921
60,5,6,6,10,0,0,0,0,3856,3853,3900,4131,0,0,3,7,0,0,0,0,0,0,0,0,0,1,0,0,148,163,135,149,0,0,0,0,1,0,1,1,85,65,69,117,33,34,26,33,0,0,0,4,0,0,0,0,208,210,212,218,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,5,9,6,10,56,96,41,52,70,91,0,0,0,1,0,2,45,171,2,2,5,5,0,0,0,0,0,0,0,0,1,2,1,6,537,555,635,918,4393,4408,4535,5049,661,705,936,1287,4517,4558,4836,5418
61,2,3,11,14,1,1,0,0,6209,6641,7373,7636,3,1,3,5,0,0,0,0,2,0,0,0,0,0,1,0,208,184,178,145,0,0,0,0,0,0,0,0,116,126,153,175,48,50,42,57,6,4,1,0,0,1,2,4,138,146,210,201,0,0,0,2,0,0,0,1,4,1,1,5,0,0,0,0,16,27,28,38,6,26,70,88,38,32,47,70,2,0,1,1,0,7,73,170,12,15,6,6,0,0,0,0,0,0,0,0,0,0,0,0,602,624,827,982,6811,7265,8200,8618,1172,1082,1402,1755,7381,7723,8775,9391
62,21,31,36,42,3,1,1,1,14202,15138,16666,17392,3,6,12,17,0,0,1,1,5,1,2,2,2,2,2,2,368,392,451,486,0,0,1,0,2,7,2,0,348,355,433,436,140,143,127,133,4,3,4,6,0,1,5,4,579,697,684,645,0,0,0,0,0,2,6,4,18,12,8,14,0,0,0,0,46,51,98,101,13,76,221,313,148,192,223,263,0,2,3,6,24,21,156,457,25,30,27,34,0,0,0,1,2,0,0,1,4,4,1,1,1755,2029,2504,2970,15957,17167,19170,20362,2663,3136,4055,5050,16865,18274,20721,22442
63,13,8,16,20,3,1,1,1,8153,8947,9461,10672,2,1,8,25,0,0,2,1,0,2,1,0,0,1,0,3,219,217,195,224,0,0,0,0,0,1,0,0,231,231,251,267,103,76,72,72,2,6,2,2,1,0,0,0,300,306,259,255,0,1,3,7,0,1,1,4,5,5,3,4,0,0,0,0,26,41,48,58,21,78,254,335,57,87,114,134,0,0,0,1,4,14,154,388,12,15,12,17,0,0,1,0,0,0,3,0,0,0,6,6,999,1092,1406,1824,9152,10039,10867,12496,2040,2281,2843,3514,10193,11228,12304,14186
64,14,17,28,32,0,2,0,0,8120,8977,9512,9825,0,1,22,28,0,0,0,0,1,1,2,5,0,0,3,1,232,262,256,261,0,1,0,0,7,3,4,3,219,243,252,267,39,35,43,44,1,6,4,8,0,1,0,2,226,263,292,286,0,1,1,1,0,0,0,5,13,9,8,5,0,0,0,0,29,34,52,59,15,49,178,257,72,114,117,155,3,2,1,0,5,34,128,428,19,28,19,25,0,0,0,1,0,0,14,1,0,1,0,1,895,1107,1424,1875,9015,10084,10936,11700,1355,1599,2246,2868,9475,10576,11758,12693
65,7,2,6,9,1,1,1,3,5967,6154,6677,6990,0,0,2,11,0,0,0,0,0,0,1,0,2,1,1,1,148,152,154,182,0,0,1,0,0,0,0,0,109,109,136,169,42,50,59,43,2,2,1,2,1,1,1,1,199,216,214,200,0,0,0,0,0,0,0,0,5,6,8,6,0,0,0,0,10,11,23,25,10,9,67,88,23,40,52,78,1,2,1,1,0,16,69,221,9,6,12,10,0,0,0,0,0,0,1,0,0,0,1,5,569,624,811,1055,6536,6778,7488,8045,846,986,1347,1668,6813,7140,8024,8658
66,2,4,3,2,1,1,1,1,2669,2683,2831,2922,0,0,0,2,0,0,0,0,0,0,0,0,1,1,1,2,23,33,34,30,0,0,0,0,0,1,1,1,24,30,38,54,2,3,4,2,3,0,2,3,1,1,1,1,50,59,63,65,0,0,0,1,0,0,0,0,2,1,2,2,0,0,0,0,8,13,8,9,3,4,26,41,0,1,4,15,0,0,0,0,3,6,10,25,3,9,3,3,0,0,0,0,0,0,0,0,0,1,0,0,126,168,201,259,2795,2851,3032,3181,174,234,267,369,2843,2917,3098,3291
67,9,14,17,29,2,2,7,1,9459,10246,11148,11859,0,2,10,14,0,0,0,0,1,0,1,1,5,4,4,2,203,181,189,206,0,0,0,6,2,2,1,1,165,199,250,245,64,80,65,45,4,1,6,6,11,12,10,8,220,214,232,216,0,0,0,4,0,3,1,0,5,2,3,6,0,0,1,1,31,27,57,39,13,46,151,200,63,64,94,152,2,1,3,3,7,15,199,460,11,10,18,15,0,0,0,0,1,0,2,2,1,1,1,1,820,880,1322,1663,10279,11126,12470,13522,1545,1574,2184,2832,11004,11820,13332,14691
68,11,8,10,7,3,3,3,1,5387,5624,5910,6216,0,0,3,20,0,0,1,1,1,0,0,0,0,0,0,1,44,65,71,72,0,0,0,0,0,0,0,2,79,90,108,106,12,7,12,14,0,0,1,0,1,1,0,0,54,62,80,94,0,0,0,1,0,0,0,0,4,3,3,1,0,0,0,0,19,16,18,14,5,8,52,68,12,19,27,45,0,1,1,0,4,4,35,74,7,7,10,9,0,0,0,1,0,0,0,0,0,1,0,0,256,295,435,531,5643,5919,6345,6747,447,487,760,921,5834,6111,6670,7137
69,16,17,19,25,0,0,1,5,8367,8597,8937,9067,1,2,26,34,0,0,0,0,0,0,0,0,1,1,1,3,160,139,143,163,0,0,0,0,4,3,3,3,189,190,205,206,52,34,41,37,2,2,0,4,1,1,2,2,200,197,189,209,0,2,5,4,0,1,2,0,5,7,5,4,0,0,1,0,25,29,56,55,12,32,152,281,42,40,69,83,0,0,0,0,4,17,135,382,21,12,11,16,0,0,0,0,0,1,10,1,1,1,6,0,736,728,1082,1517,9103,9325,10019,10584,1184,1235,1882,2479,9551,9832,10819,11546
70,22,21,29,56,2,2,2,10,8321,8895,9034,8955,2,9,31,48,0,1,0,0,1,2,0,4,1,2,7,6,170,166,144,201,0,1,1,0,1,8,6,3,263,313,373,421,63,63,64,62,2,4,5,4,3,2,3,3,249,231,191,244,1,0,1,2,0,0,5,1,12,15,10,9,0,0,0,0,46,42,91,85,28,105,384,414,90,103,122,137,2,2,3,1,8,19,340,827,24,25,25,25,3,4,1,1,1,1,1,1,2,2,8,8,996,1143,1847,2573,9317,10038,10881,11528,2048,2079,3108,3861,10369,10974,12142,12816
71,20,28,42,35,2,2,6,8,11658,12565,13621,14327,1,10,52,67,0,0,0,0,3,4,2,2,7,4,8,1,254,239,238,298,0,0,0,3,1,1,1,1,267,271,373,414,93,61,45,66,2,6,6,7,4,5,3,7,367,332,295,334,0,0,0,2,0,0,1,4,15,13,7,5,0,0,0,1,42,33,72,89,42,107,375,510,92,132,141,201,0,1,1,3,14,21,336,902,34,35,25,21,0,0,0,0,1,0,6,5,0,0,11,4,1261,1305,2046,2990,12919,13870,15667,17317,2752,2652,3802,4871,14410,15217,17423,19198
72,15,17,20,19,3,7,3,3,8894,9473,9772,10034,5,9,21,22,0,1,0,1,1,3,0,0,0,1,1,3,144,134,132,173,0,0,1,0,1,0,0,1,168,202,235,254,49,42,47,53,2,10,2,2,2,4,1,1,218,212,215,229,0,1,1,0,0,1,1,8,11,11,10,12,0,0,0,0,28,25,38,42,14,48,153,244,73,74,58,76,0,1,2,10,10,25,108,306,18,17,14,10,0,0,0,0,0,0,3,4,0,0,1,0,762,845,1067,1473,9656,10318,10839,11507,1315,1425,1891,2451,10209,10898,11663,12485
73,17,15,10,23,1,2,5,1,5775,6352,7162,7432,1,7,15,19,0,0,1,0,1,1,1,0,1,3,2,2,79,93,117,142,0,0,0,1,0,0,6,2,126,167,198,218,11,11,23,38,4,3,3,6,1,3,2,2,100,106,146,132,0,0,1,3,0,1,1,1,6,4,4,4,0,0,3,0,23,34,60,56,1,29,78,164,20,19,59,75,2,1,5,2,1,14,73,212,18,16,24,28,0,0,2,2,1,1,0,2,2,4,2,0,416,534,841,1135,6191,6886,8003,8567,660,812,1396,1821,6435,7164,8558,9253
74,20,23,30,33,1,1,4,2,11079,11401,11352,12167,4,8,25,49,0,0,0,1,2,0,0,4,2,2,0,0,128,130,123,153,0,0,0,0,0,0,0,0,271,356,365,328,58,51,44,53,6,2,6,7,4,5,6,7,158,154,160,186,0,0,1,0,0,1,2,4,15,11,14,13,0,0,1,1,33,43,49,61,22,48,136,229,45,44,52,102,0,0,1,1,4,15,176,465,29,25,23,17,1,0,1,1,0,1,1,3,1,0,3,2,804,920,1223,1722,11883,12321,12575,13889,1489,1533,2143,3031,12568,12934,13495,15198
75,13,15,40,48,2,2,10,17,10879,11950,12336,12700,2,6,34,117,0,0,0,0,1,2,1,14,5,2,1,2,197,194,177,226,0,0,0,0,17,7,6,1,282,271,320,402,90,77,70,70,2,1,3,10,9,8,9,14,234,213,193,220,0,0,0,2,0,1,4,7,6,4,6,6,0,0,0,0,36,56,82,109,24,73,338,393,70,74,79,88,2,2,2,4,3,44,601,1265,42,30,30,51,1,0,0,0,0,1,0,2,0,2,1,5,1038,1085,2007,3073,11917,13035,14343,15773,2524,2448,3599,4993,13403,14398,15935,17693
76,24,20,26,49,1,3,3,5,11485,10544,10561,10321,7,7,34,69,0,0,0,0,0,0,0,2,0,1,3,2,165,151,157,183,0,0,2,0,1,4,2,3,235,218,273,342,140,148,128,128,6,1,6,5,4,2,3,22,246,221,221,253,2,0,1,2,3,2,5,7,16,12,10,9,0,0,0,0,50,39,58,64,23,69,197,353,40,52,49,59,0,1,1,5,8,8,121,425,33,31,28,42,1,1,5,4,1,0,5,1,3,3,2,3,1009,994,1340,2037,12494,11538,11901,12358,1377,1414,1929,2964,12862,11958,12490,13285
77,16,20,27,25,3,1,1,1,8613,10137,10864,11834,2,2,14,61,0,0,0,2,0,1,0,1,0,4,5,1,150,179,164,179,0,0,0,0,1,2,1,2,159,172,201,253,135,139,115,104,4,2,1,1,0,2,1,1,233,243,251,239,0,1,1,1,0,0,0,3,4,5,2,3,1,0,1,0,33,28,32,39,15,35,88,119,37,50,58,68,0,0,0,1,5,1,29,132,9,11,11,9,0,0,1,1,0,0,0,7,1,2,2,4,808,900,1006,1257,9421,11037,11870,13091,1609,1600,1825,2406,10222,11737,12689,14240
78,3,6,8,11,0,0,0,1,3065,3438,3690,4381,1,1,1,7,0,0,0,0,0,0,0,0,2,1,1,0,58,66,72,87,0,1,0,0,0,0,0,0,50,37,61,69,4,4,7,9,0,1,0,0,1,0,0,0,64,82,90,110,0,0,0,0,0,0,2,0,1,1,1,2,0,0,0,1,2,9,7,26,1,11,17,72,41,53,69,54,0,1,0,0,2,1,21,66,9,8,3,2,0,0,0,0,0,0,3,1,0,1,1,1,239,284,364,519,3304,3722,4054,4900,407,421,603,942,3472,3859,4293,5323
79,24,38,38,40,4,9,7,8,7991,8866,9292,9595,1,5,33,54,0,0,1,1,2,2,0,1,4,1,1,0,87,89,113,137,0,0,0,4,1,1,4,5,174,169,199,229,33,29,31,35,2,1,7,10,0,2,1,1,175,200,200,201,0,0,0,4,0,0,2,0,8,6,3,3,0,0,0,1,18,25,50,42,18,76,209,294,63,79,86,86,3,6,5,3,12,16,136,231,16,18,22,17,0,0,0,1,0,0,0,3,5,9,6,6,650,781,1154,1417,8641,9647,10446,11012,1591,1619,2248,2677,9582,10485,11540,12272
80,29,27,39,40,2,2,1,9,7036,7984,8573,9035,2,20,88,319,0,0,0,0,1,0,0,1,1,0,3,7,167,128,130,229,0,1,7,5,4,6,7,7,225,213,267,305,55,44,43,32,3,2,7,7,5,4,4,8,273,214,188,183,0,1,2,1,1,0,0,1,3,4,1,3,0,0,0,1,14,16,71,91,38,110,231,320,96,83,86,72,0,1,3,7,4,26,136,326,36,29,20,29,0,0,5,1,1,1,0,1,0,1,0,1,960,933,1339,2006,7996,8917,9912,11041,2497,2165,2864,3662,9533,10149,11437,12697
81,36,37,41,33,2,5,3,7,4320,4966,5295,5472,6,7,26,82,0,0,0,0,1,0,0,4,0,0,2,1,181,149,125,223,0,0,1,2,0,3,7,4,154,144,195,204,43,30,21,24,0,0,0,9,9,7,7,4,153,105,92,168,0,0,0,1,0,0,2,1,4,0,3,2,0,0,0,0,30,26,51,63,10,42,174,283,63,49,48,80,0,0,1,1,4,26,66,181,23,26,26,27,0,1,0,1,1,1,1,0,2,4,4,3,722,662,896,1408,5042,5628,6191,6880,2039,1662,1944,2532,6359,6628,7239,8004
82,30,40,53,47,0,2,4,6,6573,7034,7173,7469,2,4,13,51,0,0,0,0,0,0,0,4,13,7,11,8,117,112,107,151,0,1,3,2,3,3,1,6,218,195,238,273,34,40,43,45,2,0,10,10,14,13,10,15,149,161,152,169,0,0,0,3,0,4,2,5,14,14,18,8,1,0,0,0,34,32,51,58,10,19,91,172,31,44,58,77,5,2,8,7,6,6,49,154,28,30,36,37,1,1,1,1,0,1,4,3,3,1,3,8,715,732,966,1320,7288,7766,8139,8789,1287,1316,1612,2084,7860,8350,8785,9553
83,13,15,19,19,1,1,3,3,5495,5870,5926,6096,1,4,22,79,0,0,0,0,4,0,0,3,0,0,0,1,56,53,47,90,0,1,0,2,0,0,1,0,121,142,132,119,32,18,19,24,1,0,5,4,1,0,1,2,188,171,154,146,0,0,0,0,0,1,0,0,4,3,2,1,0,0,0,2,19,24,33,47,11,53,135,176,50,53,91,93,0,0,5,5,6,17,70,139,27,30,18,22,0,0,0,0,1,1,1,0,0,2,1,1,536,589,759,978,6031,6459,6685,7074,1095,1129,1501,1931,6590,6999,7427,8027
84,28,40,51,61,0,1,6,6,5385,5826,6015,5937,4,14,29,54,0,0,0,4,0,2,3,7,1,5,5,4,93,134,117,123,0,0,5,7,2,2,9,11,139,139,178,188,55,41,55,42,3,2,7,18,7,3,6,2,216,197,211,208,1,2,9,4,0,0,4,14,6,9,8,6,0,0,1,0,25,29,22,37,14,32,88,149,50,51,80,86,6,5,13,17,1,21,75,111,34,33,42,45,0,0,3,2,1,3,8,20,5,2,8,4,691,767,1043,1230,6076,6593,7058,7167,1174,1224,1675,2185,6559,7050,7690,8122
85,19,15,17,20,2,1,0,2,3497,3344,3440,3397,1,4,16,30,0,0,0,0,0,1,0,1,0,0,0,0,85,72,66,83,0,0,0,2,4,1,1,6,106,102,134,165,75,67,31,29,3,4,1,5,9,11,9,7,113,81,91,105,0,3,0,0,1,0,4,2,1,0,0,1,0,0,0,0,24,17,20,35,5,37,175,195,80,69,48,81,0,1,6,6,3,12,52,103,38,38,27,26,0,0,1,6,0,6,5,6,1,1,3,5,570,543,707,921,4067,3887,4147,4318,803,825,1071,1336,4300,4169,4511,4733
86,18,21,43,42,2,2,2,6,6387,6920,7142,7451,0,4,17,29,0,1,3,4,4,0,0,1,2,7,2,4,89,95,121,116,0,3,5,2,2,6,5,1,113,170,191,235,19,37,41,38,5,25,22,26,9,13,7,4,189,212,216,235,0,0,0,0,0,1,9,16,9,7,5,7,0,0,0,0,12,23,25,27,11,37,108,192,75,102,135,128,1,7,17,21,2,36,107,231,24,37,53,54,1,3,0,1,0,3,14,16,2,1,0,3,589,853,1148,1439,6976,7773,8290,8890,1144,1353,1814,2402,7531,8273,8956,9853
87,4,3,3,12,0,0,0,0,1336,1571,1603,1954,0,1,7,42,0,0,0,0,0,0,0,2,2,2,1,6,19,23,22,27,1,0,0,4,1,0,1,8,37,61,54,111,12,10,13,7,0,2,1,9,3,1,1,3,30,31,38,59,0,0,0,1,0,7,3,1,3,3,2,2,0,0,0,0,7,10,9,24,4,11,11,59,21,28,44,52,0,0,4,2,1,16,23,83,14,14,14,13,0,0,1,3,0,2,4,5,2,0,0,3,161,225,256,538,1497,1796,1859,2492,265,350,433,716,1601,1921,2036,2670
88,242,244,280,306,28,32,39,38,11167,10714,10184,9810,2,9,69,107,2,2,2,5,0,2,4,19,43,37,38,35,332,300,318,468,2,14,22,40,88,105,94,94,666,847,933,1085,141,134,120,149,11,24,52,91,83,76,63,71,385,380,478,528,0,6,19,25,0,18,33,43,40,31,32,32,0,1,5,5,90,90,97,101,29,86,316,396,228,248,264,308,3,17,54,59,8,28,96,294,273,279,269,256,0,5,11,15,7,13,30,18,52,81,87,84,2755,3109,3825,4672,13922,13823,14009,14482,3399,3825,4724,5677,14566,14539,14908,15487
89,288,276,242,238,32,38,36,33,7607,7252,6786,6578,0,17,47,129,0,2,6,10,0,2,2,8,34,23,25,21,244,288,268,403,0,3,32,32,108,105,102,114,525,513,660,683,145,148,150,180,6,26,74,92,49,49,54,62,365,385,403,477,1,8,19,36,0,5,25,44,34,19,18,19,0,0,5,10,97,87,99,114,41,110,228,348,242,230,258,239,2,13,45,65,14,22,87,247,214,194,180,188,0,8,9,17,1,12,18,29,83,85,71,71,2525,2668,3163,3909,10132,9920,9949,10487,3093,3279,3847,4686,10700,10531,10633,11264
90,120,123,138,144,9,17,12,17,9956,10002,9679,9582,9,13,39,93,0,0,1,0,4,2,14,15,27,20,17,25,198,206,242,338,0,8,9,21,63,60,59,59,371,452,560,604,161,161,165,176,4,14,46,81,41,34,40,47,229,305,307,342,0,6,26,51,0,5,26,34,29,24,14,14,0,0,7,7,103,87,68,82,15,54,169,249,198,210,218,227,2,6,29,30,12,40,109,252,111,128,110,89,2,2,13,11,3,9,21,21,20,39,49,35,1731,2025,2508,3064,11687,12027,12187,12646,2385,2723,3312,4029,12341,12725,12991,13611
91,74,76,98,105,6,11,12,19,5071,5235,5812,6138,1,5,45,72,0,0,7,14,1,12,8,12,15,15,17,18,95,112,174,175,0,5,19,45,46,41,60,78,183,212,316,374,55,49,104,208,4,13,41,87,6,16,24,17,212,172,212,280,0,3,31,74,0,7,52,93,17,16,18,16,0,0,6,2,35,32,61,59,9,30,126,181,102,121,206,256,5,8,31,53,4,14,65,167,65,47,69,83,0,0,4,11,3,10,47,60,12,15,37,16,950,1042,1890,2575,6021,6277,7702,8713,1284,1469,2635,3488,6355,6704,8447,9626
92,66,63,71,47,9,8,4,4,3878,3935,4004,3860,3,4,16,20,0,0,0,0,0,0,1,0,11,5,9,2,63,57,67,63,0,0,8,9,19,13,22,19,237,326,483,468,31,34,34,38,2,3,15,13,12,16,16,20,120,98,94,106,0,0,4,6,4,6,6,9,54,23,25,11,0,0,6,6,19,23,27,31,16,8,30,34,60,44,35,50,0,1,2,6,4,16,30,18,43,46,65,53,0,1,2,1,0,6,2,7,11,7,6,16,784,808,1080,1057,4662,4743,5084,4917,1356,1363,1608,1699,5234,5298,5612,5559
