sscod;BELGIQUE;ALLEMAGNE;DANEMARK;ESPAGNE;FINLANDE;FRANCE;ROYAUME_UNI;GRECE;IRLANDE;PORTUGAL;SLOVENIE;ROUMANIE;TURQUIE;INDE;JAPON;ISRAEL;CONGO_/REP.DEM/;ALGERIE;MAROC;TUNISIE;TOTAL_AFRIQUE;TOTAL_(AVEC_REFUGIES)
21012A54-;1908;1;0;33;0;42;2;10;0;14;0;12;19;1;1;0;47;3;219;2;294;2499
21012A552;903;4;0;34;0;32;3;16;0;7;0;8;10;0;3;1;26;5;75;4;119;1250
21012A59-;;;;;;;;;;;;;;;;;;;;;;1
21012A60-;3087;6;0;54;0;117;3;4;0;28;0;77;38;1;0;1;37;15;521;2;626;4287
21012A611;923;4;0;12;0;24;1;3;0;20;0;13;7;0;1;0;16;0;163;3;208;1332
21012A62-;3383;8;3;65;4;127;3;19;0;30;0;51;37;1;0;1;83;19;507;7;739;4844
21012A63-;1340;1;0;20;1;59;3;4;0;9;0;17;11;0;0;1;33;9;204;2;267;1841
21012A672;1535;2;0;13;1;51;3;21;0;7;0;31;30;0;0;0;9;12;273;2;333;2121
21012A71-;2626;6;0;19;4;135;1;9;0;19;0;55;76;0;0;0;20;5;487;7;578;3762
21012A72-;1885;;0;15;0;73;4;17;0;6;0;28;113;1;0;0;36;9;393;2;495;2834
21012A732;647;;0;6;0;35;7;0;1;11;0;12;25;3;0;0;7;5;169;1;200;1010
21012A811;488;;0;9;0;10;1;5;0;4;0;8;1;0;0;0;5;1;20;0;27;601
21012A822;3138;1;1;82;0;63;2;25;1;17;0;4;11;0;0;0;42;11;91;4;163;3722
21012A833;470;;0;2;0;5;0;0;0;0;0;1;0;0;0;0;4;0;5;0;13;503
21012A84-;1546;2;0;21;0;29;4;1;0;8;0;2;3;5;0;0;24;1;29;0;60;1757
21012A851;684;5;0;8;0;14;2;9;0;2;0;0;7;0;0;0;12;0;16;0;30;799
21012A882;69;;0;2;0;0;0;2;0;0;0;0;0;0;0;0;3;0;2;0;5;84
21013A00-;2271;41;3;144;1;218;32;14;2;125;0;22;6;2;3;3;18;9;60;3;123;3372
21013A01-;1773;51;10;86;4;212;42;17;13;177;0;5;2;1;0;0;21;6;56;8;116;2929
21013A02-;1565;5;14;74;7;283;64;29;8;52;1;5;3;11;2;6;31;14;17;2;110;2655
21013A031;642;38;5;32;4;107;35;6;12;31;1;8;1;8;4;0;10;2;14;4;37;1222
21013A04-;1075;31;4;44;2;152;22;6;7;23;0;2;4;0;1;2;4;4;26;0;49;1564
21013A052;518;23;5;30;3;136;20;21;7;28;1;5;4;3;3;0;6;1;8;0;23;1011
21013A101;1200;8;0;111;1;106;7;31;0;256;0;15;6;6;0;0;7;5;165;5;210;2248
21013A102;215;2;1;30;0;29;2;9;0;23;0;7;0;0;0;0;0;3;17;3;27;400
21013A11-;969;15;2;51;1;83;21;12;1;70;0;13;1;7;2;2;10;19;47;2;100;1536
21013A121;449;2;0;38;0;23;0;8;0;84;0;0;0;0;0;0;2;6;77;1;100;834
21013A13-;1507;8;0;127;2;92;10;42;0;106;0;17;10;1;2;0;8;25;240;6;300;2432
21013A151;954;14;1;49;3;135;21;25;3;76;0;6;2;4;1;0;8;7;75;7;137;1682
21013A2MJ;48;;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;54
21013A201;815;6;1;121;3;55;13;59;1;186;0;16;13;6;1;0;23;8;145;2;225;1736
21013A211;1542;13;3;126;0;93;6;33;0;92;0;25;12;1;0;0;8;3;79;4;121;2238
21013A22-;2129;6;0;176;0;71;1;89;1;266;0;35;23;1;0;0;22;23;355;9;460;3593
21013A23-;782;3;0;72;0;22;2;23;1;70;0;9;5;8;0;0;10;2;191;8;222;1336
21013A242;828;2;0;70;0;38;5;82;1;121;0;17;12;1;0;1;10;6;197;3;241;1567
21013A252;1176;4;2;87;0;39;3;69;0;97;0;16;28;0;0;1;6;4;270;3;310;1995
21013A40-;984;15;0;64;7;99;8;42;2;221;0;16;19;1;1;0;5;5;93;1;137;1949
21013A41-;1514;22;8;104;1;156;8;9;9;173;1;29;1;4;1;1;11;10;82;0;126;2405
21013A422;1653;7;0;131;2;82;7;25;0;250;0;23;8;0;1;0;13;29;282;5;355;2805
21013A51-;629;22;1;68;11;118;33;18;2;88;1;14;3;4;3;3;13;2;36;0;67;1352
21013A522;838;34;2;32;2;160;30;21;3;27;2;21;2;7;4;0;14;17;17;1;70;1526
