"ID_SS";"ID_SS_bis";"exp_ais";"exp_individu";"exp_public";"exp_société";"exp_total"
671;"21018A643";0;2;5;0;7
672;"21018A60-";0;1;0;0;1
673;"21018A19-";0;0;0;0;0
674;"21018A81-";0;0;1;0;1
675;"21018A84-";0;0;2;0;2
676;"21018A00-";0;1;0;0;1
677;"21018A43-";0;1;1;0;2
678;"21018A41-";0;3;0;1;4
679;"21018A42-";0;0;0;0;0
680;"21018A01-";1;1;0;0;2
681;"21018A15-";0;0;0;0;0
682;"21018A14-";0;1;3;0;4
683;"21018A13-";0;0;1;0;1
684;"21018A12-";0;1;0;0;1
685;"21018A82-";0;0;0;0;0
686;"21018A83-";0;0;0;0;0
687;"21018A87-";0;0;0;4;4
688;"21018A3MJ";0;5;0;3;8
689;"21019A231";0;0;0;0;0
690;"21019A242";0;1;0;0;1
691;"21019A252";1;2;0;0;3
692;"21019A131";0;2;1;1;4
693;"21019A12-";0;0;0;0;0
694;"21019A45-";0;3;0;0;3
695;"21019A52-";0;4;0;0;4
696;"21019A51-";0;0;0;0;0
697;"21019A04-";0;2;1;0;3
698;"21019A03-";0;7;0;0;7
699;"21019A02-";0;0;0;0;0
700;"21019A052";1;2;0;1;4
701;"21019A001";0;3;0;0;3
702;"21019A34-";0;3;0;0;3
703;"21019A30-";0;0;0;0;0
704;"21019A33-";0;0;1;1;2
705;"21019A01-";0;0;0;0;0
706;"21019A11-";0;0;0;0;0
707;"21019A31-";0;1;0;0;1
708;"21019A32-";0;4;0;0;4
710;"21019A35-";0;1;0;0;1
711;"21019A28-";0;0;0;0;0
712;"21019A20-";0;0;1;0;1
713;"21019A14-";0;6;0;1;7
714;"21019A10-";0;6;0;1;7
715;"21019A21-";0;0;0;0;0
716;"21019A40-";0;2;0;0;2
717;"21019A15-";0;0;3;0;3
718;"21019A42-";0;0;0;0;0
719;"21019A22-";0;0;0;0;0
720;"21019A441";0;0;0;0;0
721;"21019A41-";0;0;0;0;0
722;"21019A43-";0;0;0;0;0
723;"21019A492";0;0;0;0;0
724;"21001C5PA";0;0;0;0;0
725;"21001C5MA";0;0;0;0;0
726;"21001C6PB";0;0;0;0;0
