LOY;LOYm2;Q11;INSSEC;annee_enquete;Q12;etat_2000_dbl_vitr;Q33;deuxieme_salle_bain;nbre_garage;convecteur;abs_regul_thermique;abs_espace_recreatif;abs_eau_chaude;rangement;etat_a_installation_elec;etat_b_installation_gaz;etat_c_evacuation_gaz;etat_d_chauffe_eau;etat_e_plomberie;etat_f_chassis;etat_g_isolation_thermique;etat_h_isolation_sonore;etat_i_chauffage;etat_j_escalier;etat_k_revetements_sol;etat_l_peintures_interieures;etat_m_cuisine;etat_n_sanitaires;etat_o_espaces_communs;REV;Q67a;Q67b;Q67c;Q67d;Q67e;Q14;m2;type_logement;type_logement2
678.7449801630614;7.5416108907006825;90;21015A782;2017;Appartement2;NA;4;0;1;0;0;0;0;0;4;5;NA;NA;2;5;3;3;4;5;3;4;3;2;NA;De 2001 € à 2500 €;0;0;0;0;2;2;90;Appartement2;Appartement2
786.2999539427466;7.862999539427466;100;21004F901;2017;Appartement2;NA;3;0;0;0;0;0;0;1;3;NA;NA;NA;NA;3;1;3;3;3;3;5;4;3;NA;De 2501 € à 3000 €;0;0;0;2;0;2;100;Appartement2;Appartement2
835.378437123768;12.851975955750277;65;21012A03-;2017;Appartement3;NA;4;0;NA;0;0;0;0;1;4;4;4;4;3;4;4;4;4;4;4;4;4;4;NA;De 1501 € à 2000 €;2;0;0;2;0;3;65;Appartement3;Appartement3
657.8605192349673;13.157210384699347;50;21009A20-;2017;Appartement1;2;4;0;0;0;0;0;0;0;4;5;5;5;3;5;4;4;5;5;2;3;4;4;NA;Plus de 3500 €;NA;NA;NA;2;NA;1;50;Appartement1;Appartement1
918.9162808361448;9.672802956169946;95;21018A643;2017;Appartement2;2;4;0;0;0;0;0;0;1;3;NA;NA;4;4;3;3;3;4;NA;2;4;3;4;NA;De 1501 € à 2000 €;0;2;0;1;0;2;95;Appartement2;Appartement2
678.7449801630614;12.34081782114657;55;21014A41-;2017;Appartement1;2;1;0;0;0;0;1;0;1;2;3;2;2;3;3;3;3;3;3;3;3;3;3;NA;Refus de répondre;1;1;2;0;0;1;55;Appartement1;Appartement1
469.9003708821195;9.39800741764239;50;21015A04-;2017;Appartement2;2;5;0;0;0;0;0;0;0;4;4;3;3;5;2;5;5;5;4;4;4;5;5;NA;De 2501 € à 3000 €;0;0;0;2;0;2;50;Appartement2;Appartement2
365.4780662416485;36.54780662416485;10;21009A301;2017;NA;2;3;NA;NA;0;0;0;0;NA;5;4;NA;NA;4;5;5;5;5;4;5;5;3;3;2;Moins de 500 €;0;0;1;0;0;NA;10;NA;NA
629.6664969820401;8.395553293093869;75;21009A40-;2017;Appartement1;2;3;0;0;0;0;0;0;0;3;NA;3;4;4;5;5;4;5;2;3;3;1;4;NA;De 500 € à 1000 €;0;0;0;1;0;1;75;Appartement1;Appartement1
746.6194781793677;18.66548695448419;40;21018A41-;2017;Appartement1;1;4;0;0;0;0;0;0;1;3;NA;5;NA;4;3;4;5;4;NA;5;5;4;4;5;De 1001 € à 1500 €;0;0;0;0;1;1;40;Appartement1;Appartement1
