id,name,value
21004A83-,E. JACQMAIN (BOULEVARD)-OUEST,18611.65
21004A001,GRAND-PLACE,17590.52
21004A002,BOURSE,19122.74
21004A01-,VIEILLE HALLE AUX BLES,22323.2
21004A02-,SAINT-FRANCOIS XAVIER,17163.63
21004A03-,BON SECOURS - PALAIS DU MIDI,16081.24
21004A04-,NOTRE-DAME DE LA CHAPELLE,15744.27
21004A10-,GARE CENTRALE,28536.12
21003A41-,MONNET,20427.82
21004A12-,REGENT (BOULEVARD DU),30554.3
21004A14-,GRAND SABLON,16438.45
21004A15-,JACOBS (PLACE),19379.07
21004A16-,PALAIS JUSTICE-HOP. ST.-PIERRE,14524.82
21004A20-,BOURSE-NORD-OUEST,19596.43
21004A21-,ANNEESSENS (PLACE),15915.48
21004A22-,SENNE (RUE DE LA),17620.07
21004A23-,NOUVEAU MARCHE AU GRAIN,18462.88
21004A13-,PETIT SABLON,24828.08
21003A38-,KONINCKXBOS,30041.23
21003A342,HOGENBOS,30073.33
21003A331,ALLEE VERTE,21102.83
21004B10-,ORBAN (SQUARE),22905.58
21004B13-,TREVES (RUE DE),22353.42
21004B293,LEOPOLD (PARC),27208.52
21004B2MJ,SCHUMAN (ROND-POINT),32940.23
21004B2NJ,CITE DE LA CHAUSSEE,35740
21004B2WJ,RUE DE PASCAL - ST.-SACREMENT,23943.38
21004B411,DEUX EGLISES (RUE DES),20194.72
21004B421,MARIE-LOUISE (SQUARE),20932.4
21004B43-,AMBIORIX-NORD (SQUARE),18636.71
21004B44-,AMBIORIX-SUD (SQUARE),23132.94
21004B45-,ECOLE MILITAIRE,24917.61
21004C501,LOUISE (AVENUE)-NORD,25386.74
21004A33-,LIBERTE (PLACE DE LA),21439.59
21003A2MJ,GARE,22280.56
21004A32-,CONGRES - GARE,20014.74
21004A24-,MARCHE AU PORCS,19596.43
21003A323,SEPT ETOILES,25016.88
21004A822,RUE DES COMMERCANTS,16895.04
21003A04-,L. DE SMET,25070.09
21003A03-,HAUT-CHAMP,20170.03
21003A02-,LAURE - BASILIQUE,23493.04
21006A171,ANCIEN COMBATTANTS (AVENUE),21337.93
21006A201,HAUT-EVERE,24677.24
21006A21-,HOME FAMILIAL BRABANT,17034.03
21006A22-,SAINT-EXUPERY,25268.78
21006A23-,DU BONHEUR,24381.73
21006A24-,IEDER ZIJN HUIS - ZAVENTEM,15918.32
21006A25-,GIBET,15918.32
21006A153,KEET,19937.32
21006A272,QUARTIER GROSJEAN,23142.56
21006A323,GERMINAL II,15622
21006A37-,ZONE INDUSTRIELLE,44712.49
21006A403,QUARTIER CICERO,25715.02
21006A414,P. DUPONT (RUE),28025.25
21006A474,COMMUNAUTES,27407.76
21006A515,CARLI,19038.32
21006A094,BON PASTEUR,20966.73
21006A312,J. BORDET (AVENUE DE),21687.21
21006A142,ED. DEKNOOP (RUE),22280.14
21006A13-,MAISON COMMUNALE,24016.08
21006A12-,GERMINAL I,15766.54
"21004D672",QUAI DE WILLEBROECK,19548.89
21004D6NJ,TOUR ET TAXIS,24839.96
"21004E101",PARVIS NOTRE DAME,16685.43
"21004E112",RUE DES CHRYSANTHEMES,18001.3
21004E12-,PRINCE LEOPOLD (SQUARE),17278.05
"21004E130",SACRE-COEUR,19495.2
21004E14-,ECOLE DES CADETS,20782.46
"21004E201",AVENUE JEAN DE BOLOGNE,23186.93
"21004E211",RUE DE WAND,21136.44
"21004E222",MUTSAARD (AVENUE),23481.98
"21004E233",DE MEYSSE (AVENUE),24176.72
21004G321,HAREN-EST,22415.16
21004G3MJ,DOBBELENBERG (RUE DE),21861.49
21004G3NJ,HAREN-SUD,19594.51
21005A00-,HOTEL COMMUNAL,22025.22
21006A101,CONSCIENCE,21524.28
21006A11-,OASIS - PROVENCE - LANGUEDOC,25287.56
21004C54-,LOUISE (AVENUE)-SUD-EST,26371.96
21006A052,CHAMP DE REPOS,22246.2
21006A03-,BLOCS SAINT-VINCENT,22755.16
21005A01-,SAINTE-GERTRUDE,21302.11
21004C53-,LOUISE (AVENUE)-SUD-OUEST,22395.01
21004C52-,LOUISE (AVENUE)-NORD-OUEST,24420.96
21004C51-,LOUISE (AVENUE)-NORD-EST,23222.97
21002A25-,WATERMAEL (CHAUSSEE DE),24894.76
21002A30-,TRIOMPHE (BOULEVARD DU),19768.16
21002A311,AMITIE (PLACE DE L'),25012.04
21002A372,QUARTIER INDUSTRIE,28030.68
21002A411,PUTDAAL,29369.05
21002A422,AVENUE IS.GERARD,33215.86
21002A43-,SOUVERAIN (BOULEVARD DU) NORD,28942.94
21002A441,CHANT D'OISEAUX,32328.12
21002A45-,VAL DUC,29411.33
21002A511,INVALIDES (BOULEVARD DES),28044.32
21002A52-,BEAULIEU,30588.51
21002A53-,PECHERIES,26553.92
21003A00-,CENTRE,21012.89
21003A011,MOLENBERG,20028.12
21006A042,KERKHOEK,24417.79
21015A111,MAETERLINCK,19739.74
21006A02-,IEDER ZIJN HUIS - STROOBANTS,15744.27
21006A001,VIEIL EVERE,21234.7
